Level,Tier,Pillar,Recommendation Title,Action,Why It Matters,Expected Outcome,Priority
LOW TIER — Artist exists cleanly,,,,,,,
1,LOW,Professional,Define Your Artist Identity,"Lock in your artist name, genre, and positioning in 1 clear sentence. Complete it today.","Without a clear identity, nothing converts — not your profile, your music, or your pitch.",Defined artist identity applied consistently across all platforms and first pitches.,Critical
1,LOW,Release,Finish Your First Release,Complete 1 track and upload it to a distributor (e.g. DistroKid) within 14 days.,No music = no career. The system cannot calculate a Release score without output.,First track live on Spotify and Apple Music; Release pillar score activates.,Critical
1,LOW,Visibility,Create Your Main Platform,Set up Instagram or TikTok and upload 5 posts within 7 days. Pick 1 platform only.,You need a visible presence before you can grow. Zero followers beats zero account.,Active social profile with first content; algorithm begins indexing your page.,High
1,LOW,Engagement,Talk to Your First Audience,Reply to every comment and DM within 24 hours for the next 30 days.,Engagement starts manually — early fans remember who responded to them.,First genuine fan interactions built; foundation for a loyal audience established.,High
1,LOW,Live,Attend 1 Show in Your Scene,Go to 1 local concert or open mic as audience or performer within 4 weeks.,"Live immersion accelerates learning, networking, and reduces performance fear.",First real-world connection to your local scene and genre community made.,Medium
MID TIER — Artist builds structure,,,,,,,
1,MID,Release,Build Your Release Pipeline,Plan and date 2 releases within the next 8 weeks — aim for a 4-week gap between each.,"Consistency beats talent. If the gap exceeds 6 weeks, your Release score drops automatically.",Active release cadence established; Release pillar score increases with each on-time release.,Critical
1,MID,Visibility,Start a Content System,"Post 3x per week on your main platform for 4 consecutive weeks — same days, same formats.","Growth comes from repetition, not one-time posts. Algorithms reward consistent behaviour.",Consistent content rhythm; first signs of organic reach growth visible after week 2–3.,Critical
1,MID,Engagement,Convert Attention into Listeners,Add 1 call-to-action (Spotify link) in every post you publish for the next 4 weeks.,"Views ≠ fans. Without active redirects, social attention never converts to streaming numbers.",Measurable traffic from social to streaming; numbers correlate with post frequency.,High
1,MID,Live,Book Your First Show,Contact 3 local venues or open mics this week and secure 1 performance date within 4–6 weeks.,"Live = reality check. A booked show forces deadlines, quality control, and real presence.",First performance completed; Live pillar score activated in Musicsteps.,Critical
1,MID,Professional,Create a Basic EPK,"Write a 1-page EPK: 3-line bio, press photo, genre, 3 links, 1 quote. Done within 7 days.","Without a shareable document you cannot approach venues, curators, or media contacts.",Shareable EPK exists; booking and press enquiry response rate increases immediately.,High
HIGH TIER — Artist is taken seriously,,,,,,,
1,HIGH,Release,Lock Your Release Cycle,Release 1 new track every 4–6 weeks — no exceptions. Set your next release date today.,This is the industry growth standard. Musicsteps flags any gap > 6 weeks as a score drop trigger.,Predictable cadence; consistent Release score growth; platform algorithms favour your catalogue.,Critical
1,HIGH,Visibility,Build a Repeatable Content System,Choose 3 recurring content formats and post them every week for 8 consecutive weeks.,Repeatable formats build algorithmic trust and audience expectation — you become reliably present.,Growing follower count and weekly engagement; content production time drops as formats solidify.,High
1,HIGH,Engagement,Build Your First Core Audience,Identify your top 20 most engaged fans and interact with them directly every week for 4 weeks.,Fans > numbers. Deep connection with 20 real fans compounds and powers every future release.,"20 loyal core fans who save, share, and stream every release; direct feedback loop established.",High
1,HIGH,Live,Play 3–5 Shows in 3 Months,Book and perform at 3–5 local shows within the next 3 months — minimum 1 show per month.,"Real-world consistency builds scene reputation, fan trust, and a bookable performance history.",Live score rises; connections to artists and venues established; real-world audience growing.,High
1,HIGH,Professional,Complete Your Full EPK,"Add professional press photo, full bio, genre and positioning, 3 links, and 1 artist quote. Done in 5 days.","The industry will not take you seriously without a complete, polished professional kit ready.","Full EPK ready to send to booking agents, labels, blogs, and press contacts on demand.",High
